id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
77,2023-04-10 22:00:41.157055,,,,,,f,,,{},3OXV7EAXLGEZICK7N77O2Z7T7WJ639,AssignmentSubmitted
79,2023-04-10 22:05:05.678582,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentAccepted
81,2023-04-10 22:07:13.121936,,,,,,f,,,{},3TYCR1GOTE7IMQU7VI8ZVJU5CMFZLF,AssignmentSubmitted
83,2023-04-10 22:16:21.785161,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentReturned
85,2023-04-10 22:17:59.285782,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentReturned
88,2023-04-10 22:18:36.716376,,,,,,f,,,{},34X6J5FLPVM3D85G51D9OB593U4QJP,AssignmentAccepted
89,2023-04-10 22:20:53.869254,,,,,,f,,,{},3OSWBBLG1GLAJJ60HJMQFL6PVDLDXM,AssignmentSubmitted
92,2023-04-10 22:22:52.864654,,,,,,f,,,{},3EA3QWIZ4KJKADD24NM4HF1WAM7TIN,AssignmentReturned
95,2023-04-10 22:25:39.792389,,,,,,f,,,{},31LM9EDVONGIABSOP9LSKHA4YJJNJ1,AssignmentAccepted
96,2023-04-10 22:26:48.129756,,,,,,f,,,{},31QTRG6Q2V188LZ0ROZNYTUNB2LPYL,AssignmentSubmitted
98,2023-04-10 22:28:24.469823,,,,,,f,,,{},31LM9EDVONGIABSOP9LSKHA4YJJNJ1,AssignmentReturned
100,2023-04-10 22:39:38.360844,,,,,,f,,,{},3LEP4MGT3IO36G3ZCNU8QOFXCA9BDN,AssignmentSubmitted
103,2023-04-10 22:40:34.236406,,,,,,f,,,{},3HVVDCPGTGG60DS7858733VK05HYTA,AssignmentAccepted
104,2023-04-10 22:46:03.36755,,,,,,f,,,{},31LM9EDVONGIABSOP9LSKHA4YJJNJ1,AssignmentSubmitted
106,2023-04-10 22:49:45.662876,,,,,,f,,,{},36NEMU28XH1YYD7NK7P7WSFCVP1WMO,AssignmentSubmitted
108,2023-04-10 22:49:54.328255,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentSubmitted
65,2023-04-10 21:47:19.535508,,,,,,f,,,{},3UN61F00HYDVIA5VTEYFSRW9HFT5R1,AssignmentAccepted
68,2023-04-10 21:47:32.697647,,,,,,f,,,{},3DPNQGW4LN3K083BNLC7C4ZZLWF46S,AssignmentSubmitted
70,2023-04-10 21:51:30.304641,,,,,,f,,,{},3Y4W8Q93L18IFU15H4L8R094F2ZDV5,AssignmentSubmitted
73,2023-04-10 21:58:15.770212,,,,,,f,,,{},3U8YCDAGXR4WB24UJT3366QD4LNQ07,AssignmentSubmitted
75,2023-04-10 21:58:25.265183,,,,,,f,,,{},3UN61F00HYDVIA5VTEYFSRW9HFT5R1,AssignmentSubmitted
78,2023-04-10 22:00:45.930939,,,,,,f,,,{},31QTRG6Q2V188LZ0ROZNYTUNB2LPYL,AssignmentAccepted
80,2023-04-10 22:05:05.684817,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentReturned
82,2023-04-10 22:07:22.974325,,,,,,f,,,{},3XCC1ODXDNZKBWOTD6MIQ2R0DBVRQF,AssignmentAccepted
84,2023-04-10 22:16:36.163779,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentAccepted
86,2023-04-10 22:18:12.156285,,,,,,f,,,{},3GFK2QRXXB50Q6MHS88LFQ4Q9UJW56,AssignmentAccepted
87,2023-04-10 22:18:25.175249,,,,,,f,,,{},3OVHNO1VE8PZOE6FI1ABC6M03DCDZC,AssignmentSubmitted
90,2023-04-10 22:21:03.026521,,,,,,f,,,{},33SA9F9TRZI0MPFA391OJKA3MNQEWX,AssignmentAccepted
93,2023-04-10 22:23:03.293909,,,,,,f,,,{},3EA3QWIZ4KJKADD24NM4HF1WAM7TIN,AssignmentAccepted
94,2023-04-10 22:25:30.092412,,,,,,f,,,{},3LEP4MGT3IO36G3ZCNU8QOFXCATDB9,AssignmentSubmitted
97,2023-04-10 22:26:53.245754,,,,,,f,,,{},3LEP4MGT3IO36G3ZCNU8QOFXCA9BDN,AssignmentAccepted
99,2023-04-10 22:28:24.471115,,,,,,f,,,{},31LM9EDVONGIABSOP9LSKHA4YJJNJ1,AssignmentAccepted
101,2023-04-10 22:39:42.850129,,,,,,f,,,{},339ANSOTR7QL7UNFAE8CGOE0RATKIN,AssignmentAccepted
102,2023-04-10 22:40:32.415121,,,,,,f,,,{},3QL2OFSM986V2XMIFH46XDX98ZYCN0,AssignmentSubmitted
105,2023-04-10 22:46:26.726739,,,,,,f,,,{},3VA45EW49PBTXFCW0ZFZV6ENUDT1OX,AssignmentAccepted
107,2023-04-10 22:49:49.740118,,,,,,f,,,{},30X31N5D65E4PVHP3ZP1QCHRVW2ASR,AssignmentAccepted
72,2023-04-10 21:53:09.726386,,,,,,f,,,"{""feedback"": ""GOOD"", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_did_exp_hit"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
91,2023-04-10 22:22:37.925562,,,,,,f,,,"{""feedback"": ""I cannot handle this type of error. kindly compensate for this study"", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_did_exp_hit"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
109,2023-04-10 22:50:04.417374,,,,,,f,,,{},3P4RDNWND7UQWAHXST80F9ENCLUIJN,AssignmentAccepted
111,2023-04-10 22:52:11.30274,,,,,,f,,,{},3Y54SXRO1N9PJ482Y4BI0IP74HDTUE,AssignmentAccepted
110,2023-04-10 22:52:11.301827,,,,,,f,,,{},3Y54SXRO1N9PJ482Y4BI0IP74HDTUE,AssignmentReturned
112,2023-04-10 22:57:30.89869,,,,,,f,,,{},3SPJ033423RCMAW2WBU31X8B238JY8,AssignmentSubmitted
113,2023-04-10 23:02:32.989202,,,,,,f,,,{},3483FV8BEG7AXUOOJ7TJJP211IJ62Y,AssignmentAbandoned
114,2023-04-10 23:02:33.002598,,,,,,f,,,{},3KXIR214I64WI7KA0J04MRIN5RD249,AssignmentAbandoned
115,2023-04-10 23:02:33.52066,,,,,,f,,,{},3X08E93BHX6YFV7P695M92JDHNL66F,AssignmentAbandoned
116,2023-04-10 23:02:33.530468,,,,,,f,,,{},37FMASSAYEFKERJL41VJHLVA4FRBIZ,AssignmentAbandoned
117,2023-04-10 23:02:40.527307,,,,,,f,,,{},3KXIR214I64WI7KA0J04MRIN5RD249,AssignmentAccepted
118,2023-04-10 23:02:40.544185,,,,,,f,,,{},3483FV8BEG7AXUOOJ7TJJP211IJ62Y,AssignmentAccepted
119,2023-04-10 23:02:48.037709,,,,,,f,,,{},3NKQQ8O390TI2FC5CEB3VE7L1VQDUG,AssignmentAbandoned
